"Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","44,686","331,893,745","13.46","11.45","78,150"
"2020","42,114","331,501,080","12.70","10.86","71,661"
"2019","39,443","328,329,953","12.01","9.79","68,757"
"2018","37,455","326,838,199","11.46","9.46","64,204"
"2017","36,338","325,122,128","11.18","9.37","69,994"
"2016","34,673","323,071,755","10.73","9.13","68,000"
"2015","33,381","320,738,994","10.41","8.99","68,439"
"2014","31,959","318,386,329","10.04","8.77","66,654"
"2013","30,208","316,059,947","9.56","8.48","68,539"
"2012","28,753","313,877,662","9.16","8.22","66,934"
"2011","27,483","311,583,481","8.82","8.04","67,080"
"2010","26,009","308,758,105","8.42","7.82","65,600"
"2009","24,792","306,771,529","8.08","7.58","68,395"
"2008","24,013","304,093,791","7.90","7.50","69,201"
"2007","22,631","301,231,030","7.51","7.21","71,830"
"2006","20,823","298,379,760","6.98","6.78","71,612"
"2005","19,656","295,516,488","6.65","6.53","66,250"
"2004","18,807","292,805,211","6.42","6.37","70,426"
"2003","17,229","290,107,845","5.94","5.93","65,493"
"2002","16,257","287,625,126","5.65","5.69","65,349"
"2001","15,019","284,968,928","5.27","5.33","67,819"
"Total","591,729","6,517,661,086","9.08","8.25","1,440,387"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2001 to 2021","","","","",""
"Geography: United States","","","","",""
"Intent: Unintentional","","","","",""
"Mechanism: Fall","","","","",""
"Age: All Ages","","","","",""
"Sex: Both Sexes","","","","",""
"Race: All Races","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
